
eu-west-1
egg2.0-go-ireland,c4.xlarge,52.30.208.84,10.58.241.179,2015-10-23 05:59:05+00:00
FB_Campaign,t2.micro,52.49.86.160,10.58.241.90,2016-05-26 06:14:36+00:00
marketing-campaign-data-collecting,t2.medium,52.30.102.16,10.58.241.60,2015-10-15 07:29:33+00:00
egg2.0-c#-ireland,c4.xlarge,52.19.132.192,10.58.241.185,2015-10-23 05:53:49+00:00
Egg2.0-Killer-Ireland,c4.xlarge,52.18.118.209,10.58.241.177,2015-11-20 02:51:42+00:00
report_youtube4tr,c4.xlarge,52.30.171.169,10.58.241.240,2016-01-26 06:23:59+00:00

ap-southeast-1
Mdata_panel,c3.large,54.169.155.231,10.0.0.149,2015-02-09 05:17:39+00:00
Mdata-robben,m3.large,54.169.72.163,10.0.0.95,2014-11-01 06:42:35+00:00
360-partner_egg_server,c4.xlarge,52.77.88.68,10.0.0.75,2016-05-25 08:24:12+00:00
egg_sysnetwk,t2.micro,54.169.157.30,10.0.0.132,2016-05-27 03:45:36+00:00
GFW,m1.large,54.254.214.247,10.0.0.20,2016-05-18 01:44:02+00:00

ap-southeast-2

eu-central-1
nav_muster_machine,m4.large,52.29.149.111,172.31.17.76,2016-03-18 03:30:18+00:00
Mdata-collecting-thiago,c3.xlarge,52.28.67.33,172.31.29.60,2015-05-25 03:32:15+00:00
zabbix-server,c4.xlarge,52.28.90.155,172.31.24.12,2015-05-07 07:53:23+00:00
Mdata-collecting-james,c4.xlarge,52.28.112.137,172.31.18.41,2015-05-25 03:24:19+00:00
Mdata-collecting-curry,c4.xlarge,52.28.154.88,172.31.18.40,2015-07-03 03:08:10+00:00
Mdata-collecting-mesut-grey,c4.xlarge,52.28.109.1,172.31.18.74,2015-08-14 03:06:00+00:00
Mdata-collecting-shaqiri,m3.large,54.93.184.47,172.31.17.82,2014-11-01 06:24:59+00:00

ap-northeast-2

ap-northeast-1
otp.oasgames.com&mading,t2.small,54.65.113.182,10.0.72.37,2015-01-06 07:22:57+00:00
Front_cdn_microaol,t2.micro,54.64.224.48,10.0.206.82,2014-12-31 10:38:43+00:00

us-east-1
minhao_2016-01-25,c4.xlarge,54.86.123.107,10.58.243.168,2016-01-25 12:17:01+00:00
zabbix-proxy,c4.xlarge,52.4.12.125,10.58.90.50,2015-05-11 10:07:10+00:00
Mdata-collect-ribery,m3.large,54.172.26.113,10.58.185.139,2014-11-01 06:32:36+00:00
Mdata-collect-luiz,c4.xlarge,54.173.105.0,10.58.216.160,2015-03-24 06:10:06+00:00
Mdata-collect-klose,c4.xlarge,52.201.213.112,10.58.183.107,2016-06-21 03:10:08+00:00
Mdata-collect-gomez,c4.xlarge,52.91.52.229,10.58.183.106,2016-06-21 03:10:08+00:00
brotsoft-marketing-campaign-collecting,t2.medium,52.23.249.246,10.0.2.76,2015-10-15 07:17:07+00:00
brotsoft-marketing-campaign-data,c4.large,52.20.101.97,10.0.2.6,2015-09-15 08:26:09+00:00
oas-dmp,c4.xlarge,52.202.100.215,10.0.0.81,2016-05-04 07:28:00+00:00

sa-east-1
Egg_dsq_Brazil,c3.xlarge,52.67.45.184,10.0.0.215,2016-06-12 07:30:36+00:00
navegaki-yii,c3.xlarge,54.207.50.1,10.0.0.218,2015-03-30 12:05:46+00:00
Egg_go_Brazil,c3.xlarge,52.67.25.90,10.0.0.9,2016-06-12 07:29:39+00:00

us-west-1

us-west-2
Mdata-rodriguez,c4.2xlarge,52.34.151.70,10.1.191.159,2015-12-01 11:00:28+00:00
Mdata-reina-DB,m3.large,54.69.251.91,10.1.41.165,2014-11-02 04:37:21+00:00
Mdata-gotze,c3.2xlarge,52.25.136.143,10.1.150.189,2015-09-20 13:07:10+00:00
Mdata-muller,c3.2xlarge,52.26.63.158,10.1.150.188,2015-09-20 13:07:15+00:00
Mdata-kroos,c3.xlarge,54.191.82.240,10.1.150.187,2014-11-01 07:39:36+00:00
Mdata-alaba,m3.xlarge,54.68.144.24,10.1.247.41,2014-11-01 07:45:49+00:00
Mdata-neuer-centerDB,m3.large,54.68.133.57,10.1.35.172,2014-11-01 07:51:12+00:00
Mdata-gearman-alonso,c4.xlarge,52.27.167.159,10.1.34.240,2015-07-31 09:39:00+00:00
Mdata-bastian,c3.xlarge,54.68.214.117,10.1.20.86,2014-11-01 07:26:58+00:00
Mdata-lahm,c3.xlarge,52.88.230.113,10.1.188.18,2015-09-22 11:37:40+00:00
Mdata-backup,t2.micro,52.11.71.74,10.1.196.47,2015-03-03 09:14:57+00:00
minhao-oregon,c4.large,54.191.244.1,10.1.75.238,2015-02-10 03:40:08+00:00
Mdata-rode,c4.2xlarge,52.88.161.187,10.1.185.196,2015-09-20 13:07:20+00:00
